,stockName,2021-09-30,2021-10-08,isRed
3235,中航沈飞,11576534.0,9801415.0,True
3236,安徽合力,2210800.0,2696380.0,True
3237,S*ST金荔,1076900.0,3137240.0,False
3238,通策医疗,3654284.0,3248358.0,False
3239,中国海防,2319204.0,1554817.0,True
3240,中航重机,12577481.0,9355631.0,True
3241,*ST园城,2363500.0,1538961.0,False
3242,运盛医疗,3006800.0,2230175.0,False
3243,宁波富邦,1289950.0,1629315.0,False
3244,祥龙电业,5774268.0,4714368.0,False
3245,综艺股份,10314170.0,13690206.0,False
3246,广誉远,10530583.0,14364696.0,False
3247,S*ST龙昌,2663300.0,16766526.0,False
3248,西藏城投,37141742.0,27715333.0,True
3249,汉商集团,986784.0,1173551.0,False
3250,南京熊猫,2930943.0,4053640.0,False
3251,东方通信,3336241.0,3274009.0,True
3252,新潮能源,321590522.0,302768341.0,True
3253,友好集团,2695000.0,3497000.0,False
3254,水井坊,5374530.0,5769530.0,False
3255,通宝能源,22878314.0,51358497.0,True
3256,ST辅仁,3805200.0,3656900.0,False
3257,新钢股份,88662840.0,56323866.0,True
3258,鲁信创投,5535934.0,4634500.0,False
3259,鲁银投资,6889715.0,20860836.0,False
3260,新华百货,388707.0,861130.0,True
